time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-09 00:00:00+00:00,16,15,128,26
2025-10-10 00:00:00+00:00,15,12,98,12
2025-10-11 00:00:00+00:00,12,6,46,6
2025-10-12 00:00:00+00:00,5,4,16,4
2025-10-13 00:00:00+00:00,18,14,61,17
2025-10-14 00:00:00+00:00,15,12,51,25
2025-10-15 00:00:00+00:00,24,13,75,25
2025-10-16 00:00:00+00:00,31,18,61,16
2025-10-17 00:00:00+00:00,27,17,72,16
2025-10-18 00:00:00+00:00,13,6,30,11
2025-10-19 00:00:00+00:00,2,2,3,3
2025-10-20 00:00:00+00:00,28,16,47,19
2025-10-21 00:00:00+00:00,20,11,97,28
2025-10-22 00:00:00+00:00,21,17,48,20
