referrer,views_total,views_unique
Google,68,27
schorschinho.github.io,52,13
forum.mrshub.org,14,4
github.com,11,4
confluence.utdallas.edu,8,1
Bing,7,6
chatgpt.com,5,3
gabamrs.com,4,3
word-view.officeapps.live.com,4,3
Yahoo,4,1
