referrer,views_total,views_unique
Google,149,37
github.com,74,17
schorschinho.github.io,72,25
Bing,29,14
forum.mrshub.org,20,8
nitrc.org,18,6
chatgpt.com,14,7
mrshub.org,8,4
word-view.officeapps.live.com,6,1
webmail.unicaen.fr,3,2
