url_path,views_total,views_unique
/schorschinho/osprey,253,141
/schorschinho/osprey/tree/develop,37,21
/schorschinho/osprey/tree/develop/exampledata,23,13
/schorschinho/osprey/issues,19,10
/schorschinho/osprey/compare/MRSI...HJZollner:osprey:MRSI,18,2
/schorschinho/osprey/releases,16,13
/schorschinho/osprey/releases/tag/v.2.9.0,16,11
/schorschinho/osprey/tree/develop/exampledata/twix,16,7
/schorschinho/osprey/compare/develop...HJZollner:osprey:MRSI,16,2
/schorschinho/osprey/tree/develop/libraries,15,10
