referrer,views_total,views_unique
schorschinho.github.io,37,11
Google,29,17
forum.mrshub.org,25,2
github.com,17,8
mrshub.org,15,3
nitrc.org,4,2
yandex.ru,3,1
Bing,2,2
DuckDuckGo,2,1
perplexity.ai,2,1
