url_path,views_total,views_unique
/schorschinho/osprey,149,88
/schorschinho/osprey/tree/develop,13,9
/schorschinho/osprey/releases,13,8
/schorschinho/osprey/tree/develop/exampledata,12,8
/schorschinho/osprey/pulls,8,7
/schorschinho/osprey/blob/develop/README.md,8,4
/schorschinho/osprey/tree/develop/libraries/LCModel,8,4
/schorschinho/osprey/tree/develop/libraries/LCModel/win/win10/LCModel_win_win10,8,3
/schorschinho/osprey/releases/tag/v.2.9.0,7,6
/schorschinho/osprey/tree/develop/exampledata/twix,6,6
