time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,3,3,44,9
2026-05-10 00:00:00+00:00,2,2,10,6
2026-05-11 00:00:00+00:00,8,5,14,9
2026-05-12 00:00:00+00:00,4,1,30,14
2026-05-13 00:00:00+00:00,2,2,22,10
2026-05-14 00:00:00+00:00,1,1,52,10
2026-05-15 00:00:00+00:00,4,4,10,7
2026-05-16 00:00:00+00:00,1,1,3,3
2026-05-17 00:00:00+00:00,0,0,6,5
2026-05-18 00:00:00+00:00,0,0,8,5
2026-05-19 00:00:00+00:00,1,1,29,10
2026-05-20 00:00:00+00:00,5,3,12,8
2026-05-21 00:00:00+00:00,0,0,23,10
2026-05-22 00:00:00+00:00,9,8,27,14
