referrer,views_total,views_unique
Google,127,28
schorschinho.github.io,56,17
forum.mrshub.org,34,5
Bing,16,8
chatgpt.com,9,3
github.com,8,4
nitrc.org,5,4
Yahoo,5,1
gabamrs.com,4,2
DuckDuckGo,1,1
