referrer,views_total,views_unique
Google,175,39
schorschinho.github.io,41,14
forum.mrshub.org,31,10
Bing,15,4
github.com,5,2
DuckDuckGo,5,1
medrxiv.org,4,1
Yahoo,3,1
chatgpt.com,2,2
nitrc.org,2,2
