time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-02 00:00:00+00:00,7.0,5.0,32,7
2025-08-03 00:00:00+00:00,23.0,7.0,21,7
2025-08-04 00:00:00+00:00,1.0,1.0,41,16
2025-08-05 00:00:00+00:00,9.0,8.0,56,16
2025-08-06 00:00:00+00:00,4.0,3.0,66,20
2025-08-07 00:00:00+00:00,2.0,1.0,54,15
2025-08-08 00:00:00+00:00,3.0,3.0,38,13
2025-08-09 00:00:00+00:00,,,24,3
2025-08-10 00:00:00+00:00,1.0,1.0,14,6
2025-08-11 00:00:00+00:00,3.0,3.0,72,11
2025-08-12 00:00:00+00:00,,,62,12
2025-08-13 00:00:00+00:00,2.0,2.0,27,13
2025-08-14 00:00:00+00:00,1.0,1.0,70,15
2025-08-15 00:00:00+00:00,,,49,13
