time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-27 00:00:00+00:00,,,15,2
2025-04-28 00:00:00+00:00,1.0,1.0,51,11
2025-04-29 00:00:00+00:00,,,31,10
2025-04-30 00:00:00+00:00,,,37,12
2025-05-01 00:00:00+00:00,,,52,16
2025-05-02 00:00:00+00:00,1.0,1.0,46,14
2025-05-03 00:00:00+00:00,,,4,4
2025-05-04 00:00:00+00:00,,,2,2
2025-05-05 00:00:00+00:00,,,34,10
2025-05-06 00:00:00+00:00,1.0,1.0,60,15
2025-05-07 00:00:00+00:00,1.0,1.0,55,19
2025-05-08 00:00:00+00:00,1.0,1.0,42,15
2025-05-09 00:00:00+00:00,2.0,2.0,30,12
2025-05-10 00:00:00+00:00,,,37,13
