time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-11 00:00:00+00:00,3.0,3.0,72,11
2025-08-12 00:00:00+00:00,,,62,12
2025-08-13 00:00:00+00:00,2.0,2.0,27,13
2025-08-14 00:00:00+00:00,2.0,2.0,70,15
2025-08-15 00:00:00+00:00,,,49,13
2025-08-16 00:00:00+00:00,,,6,5
2025-08-17 00:00:00+00:00,,,25,4
2025-08-18 00:00:00+00:00,3.0,3.0,30,12
2025-08-19 00:00:00+00:00,1.0,1.0,27,10
2025-08-20 00:00:00+00:00,7.0,7.0,14,5
2025-08-21 00:00:00+00:00,2.0,1.0,13,11
2025-08-22 00:00:00+00:00,,,51,20
2025-08-23 00:00:00+00:00,2.0,2.0,11,5
2025-08-24 00:00:00+00:00,1.0,1.0,18,5
