time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,1.0,1.0,23.0,13.0
2025-04-15 00:00:00+00:00,3.0,3.0,83.0,19.0
2025-04-16 00:00:00+00:00,1.0,1.0,125.0,16.0
2025-04-17 00:00:00+00:00,,,112.0,19.0
2025-04-18 00:00:00+00:00,,,56.0,11.0
2025-04-19 00:00:00+00:00,2.0,2.0,,
2025-04-20 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-04-21 00:00:00+00:00,,,42.0,12.0
2025-04-22 00:00:00+00:00,1.0,1.0,72.0,19.0
2025-04-23 00:00:00+00:00,9.0,5.0,44.0,13.0
2025-04-24 00:00:00+00:00,,,56.0,14.0
2025-04-25 00:00:00+00:00,6.0,3.0,49.0,18.0
2025-04-26 00:00:00+00:00,,,10.0,5.0
2025-04-27 00:00:00+00:00,,,15.0,2.0
