referrer,views_total,views_unique
Google,129,45
Bing,61,10
schorschinho.github.io,58,22
forum.mrshub.org,56,13
github.com,43,13
mrshub.org,18,4
nitrc.org,15,8
chatgpt.com,14,5
gabamrs.com,5,4
helpdesk.i3s.up.pt,4,1
