referrer,views_total,views_unique
Google,175,61
schorschinho.github.io,58,28
github.com,30,13
forum.mrshub.org,24,9
mrshub.org,23,3
chatgpt.com,19,4
nitrc.org,9,3
osprey-bids.readthedocs.io,7,2
Bing,5,3
gabamrs.com,4,3
