time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-16 00:00:00+00:00,,,28,19
2025-07-17 00:00:00+00:00,1.0,1.0,81,14
2025-07-18 00:00:00+00:00,1.0,1.0,37,10
2025-07-19 00:00:00+00:00,,,13,3
2025-07-20 00:00:00+00:00,,,4,2
2025-07-21 00:00:00+00:00,1.0,1.0,102,20
2025-07-22 00:00:00+00:00,2.0,1.0,75,27
2025-07-23 00:00:00+00:00,,,43,19
2025-07-24 00:00:00+00:00,,,54,19
2025-07-25 00:00:00+00:00,3.0,3.0,88,20
2025-07-27 00:00:00+00:00,,,44,7
2025-07-28 00:00:00+00:00,1.0,1.0,75,24
2025-07-29 00:00:00+00:00,2.0,1.0,93,23
