time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,4,4,10,7
2026-05-16 00:00:00+00:00,1,1,3,3
2026-05-17 00:00:00+00:00,0,0,6,5
2026-05-18 00:00:00+00:00,0,0,8,5
2026-05-19 00:00:00+00:00,1,1,29,10
2026-05-20 00:00:00+00:00,5,3,12,8
2026-05-21 00:00:00+00:00,0,0,23,10
2026-05-22 00:00:00+00:00,9,8,27,14
2026-05-23 00:00:00+00:00,7,7,27,4
2026-05-24 00:00:00+00:00,7,6,7,4
2026-05-25 00:00:00+00:00,12,11,11,9
2026-05-26 00:00:00+00:00,14,9,46,12
2026-05-27 00:00:00+00:00,19,15,39,15
2026-05-28 00:00:00+00:00,9,9,29,9
