referrer,views_total,views_unique
Google,109,22
schorschinho.github.io,38,12
forum.mrshub.org,30,9
github.com,4,2
search.brave.com,4,2
Bing,3,3
mrshub.netlify.app,3,2
Yahoo,1,1
chatgpt.com,1,1
gabamrs.com,1,1
