time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-21 00:00:00+00:00,2.0,1.0,16,13
2025-08-22 00:00:00+00:00,,,51,20
2025-08-23 00:00:00+00:00,2.0,2.0,11,5
2025-08-24 00:00:00+00:00,1.0,1.0,18,5
2025-08-25 00:00:00+00:00,2.0,2.0,31,18
2025-08-26 00:00:00+00:00,,,12,9
2025-08-27 00:00:00+00:00,3.0,2.0,80,27
2025-08-28 00:00:00+00:00,,,30,14
2025-08-29 00:00:00+00:00,,,89,21
2025-08-30 00:00:00+00:00,,,16,8
2025-08-31 00:00:00+00:00,,,4,3
2025-09-01 00:00:00+00:00,1.0,1.0,19,9
2025-09-02 00:00:00+00:00,,,43,20
2025-09-03 00:00:00+00:00,1.0,1.0,40,16
