referrer,views_total,views_unique
Google,183,54
github.com,77,13
schorschinho.github.io,67,24
chatgpt.com,26,8
forum.mrshub.org,25,13
Bing,10,2
onlinelibrary.wiley.com,10,1
mrshub.org,9,4
nitrc.org,7,1
gabamrs.com,6,2
