referrer,views_total,views_unique
Google,288,56
schorschinho.github.io,95,38
github.com,83,12
forum.mrshub.org,28,13
chatgpt.com,18,7
gabamrs.com,14,7
Bing,12,9
youtube.com,6,2
mrshub.org,5,5
DuckDuckGo,5,3
