url_path,views_total,views_unique
/schorschinho/osprey,193,97
/schorschinho/osprey/blob/develop/exampledata/sdat/MEGA/jobSDAT_MEGA.m,18,15
/schorschinho/osprey/tree/develop,17,12
/schorschinho/osprey/pulls,17,4
/schorschinho/osprey/releases/tag/v.2.9.0,15,13
/schorschinho/osprey/releases,15,12
/schorschinho/osprey/blob/develop/exampledata/sdat/UnEdited/jobSDAT.m,15,10
/schorschinho/osprey/issues,15,10
/schorschinho/osprey/tree/develop/exampledata,14,7
/schorschinho/osprey/releases/tag/v.2.8.0,12,1
