referrer,views_total,views_unique
Google,242,67
schorschinho.github.io,100,27
forum.mrshub.org,81,17
github.com,40,10
mrshub.org,22,9
chatgpt.com,15,5
mail.google.com,12,1
Bing,5,4
todo.scott5.org,4,2
statics.teams.cdn.office.net,3,2
