referrer,views_total,views_unique
Google,139,40
forum.mrshub.org,64,14
schorschinho.github.io,52,17
Bing,40,3
github.com,38,10
chatgpt.com,10,4
mrshub.org,6,3
gabamrs.com,5,5
ecosia.org,5,1
kennedykrieger.org,2,1
