referrer,views_total,views_unique
Google,217,35
schorschinho.github.io,185,28
forum.mrshub.org,60,15
github.com,32,7
chatgpt.com,24,5
Bing,15,5
nitrc.org,14,5
cac-word-view.officeapps.live.com,2,2
perplexity.ai,2,2
statics.teams.cdn.office.net,2,2
