url_path,views_total,views_unique
/schorschinho/osprey,90,69
/schorschinho/osprey/issues,26,4
/schorschinho/osprey/releases,15,13
/schorschinho/osprey/tree/develop/libraries/FID-A,8,3
/schorschinho/osprey/releases/tag/v.2.9.0,6,5
/schorschinho/osprey/blob/develop/libraries/FID-A/fitTools/fit_makeBasis.m,5,4
/schorschinho/osprey/tree/develop,4,4
/schorschinho/osprey/tree/develop/fit,4,3
/schorschinho/osprey/blob/develop/libraries/FID-A/inputOutput/io_writelcmBASIS.m,3,3
/schorschinho/osprey/tree/develop/exampledata,3,3
