time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-29 00:00:00+00:00,,,15,3
2025-03-30 00:00:00+00:00,1.0,1.0,4,3
2025-03-31 00:00:00+00:00,,,98,12
2025-04-01 00:00:00+00:00,8.0,5.0,70,16
2025-04-02 00:00:00+00:00,1.0,1.0,58,19
2025-04-03 00:00:00+00:00,1.0,1.0,67,25
2025-04-04 00:00:00+00:00,,,91,13
2025-04-05 00:00:00+00:00,1.0,1.0,2,2
2025-04-06 00:00:00+00:00,2.0,2.0,5,5
2025-04-07 00:00:00+00:00,1.0,1.0,47,18
2025-04-08 00:00:00+00:00,1.0,1.0,108,26
2025-04-09 00:00:00+00:00,2.0,2.0,104,19
2025-04-10 00:00:00+00:00,2.0,2.0,30,11
2025-04-11 00:00:00+00:00,2.0,2.0,54,18
