time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,11,8,90,25
2026-01-28 00:00:00+00:00,2,2,37,19
2026-01-29 00:00:00+00:00,3,2,19,7
2026-01-30 00:00:00+00:00,0,0,109,18
2026-01-31 00:00:00+00:00,22,6,49,10
2026-02-01 00:00:00+00:00,1,1,5,5
2026-02-02 00:00:00+00:00,1,1,45,14
2026-02-03 00:00:00+00:00,2,2,85,24
2026-02-04 00:00:00+00:00,2,2,49,23
2026-02-05 00:00:00+00:00,3,3,45,22
2026-02-06 00:00:00+00:00,0,0,27,15
2026-02-07 00:00:00+00:00,1,1,24,6
2026-02-08 00:00:00+00:00,1,1,32,8
2026-02-09 00:00:00+00:00,3,2,52,14
