time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,12,12,14,12
2026-07-05 00:00:00+00:00,2,2,7,7
2026-07-06 00:00:00+00:00,4,4,13,8
2026-07-07 00:00:00+00:00,8,6,10,6
2026-07-08 00:00:00+00:00,11,7,44,13
2026-07-09 00:00:00+00:00,8,8,23,6
2026-07-10 00:00:00+00:00,11,8,6,5
2026-07-11 00:00:00+00:00,8,7,7,3
2026-07-12 00:00:00+00:00,14,6,11,9
2026-07-13 00:00:00+00:00,17,11,21,14
2026-07-14 00:00:00+00:00,18,15,19,6
2026-07-15 00:00:00+00:00,2,2,29,9
2026-07-16 00:00:00+00:00,5,5,20,10
2026-07-17 00:00:00+00:00,10,7,11,3
