time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-21 00:00:00+00:00,2,2,8,5
2026-03-22 00:00:00+00:00,0,0,66,13
2026-03-23 00:00:00+00:00,2,2,78,19
2026-03-24 00:00:00+00:00,10,8,98,21
2026-03-25 00:00:00+00:00,0,0,79,30
2026-03-26 00:00:00+00:00,2,2,85,32
2026-03-27 00:00:00+00:00,4,4,129,33
2026-03-28 00:00:00+00:00,7,2,60,5
2026-03-29 00:00:00+00:00,3,1,21,12
2026-03-30 00:00:00+00:00,12,8,76,24
2026-03-31 00:00:00+00:00,11,11,64,16
2026-04-01 00:00:00+00:00,23,18,97,19
2026-04-02 00:00:00+00:00,7,7,88,24
2026-04-03 00:00:00+00:00,3,3,46,10
