time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-10 00:00:00+00:00,2.0,2.0,136,22
2025-02-11 00:00:00+00:00,2.0,2.0,96,17
2025-02-12 00:00:00+00:00,4.0,3.0,71,15
2025-02-13 00:00:00+00:00,5.0,5.0,80,30
2025-02-14 00:00:00+00:00,1.0,1.0,54,22
2025-02-15 00:00:00+00:00,1.0,1.0,3,2
2025-02-16 00:00:00+00:00,1.0,1.0,39,5
2025-02-17 00:00:00+00:00,3.0,3.0,95,14
2025-02-18 00:00:00+00:00,3.0,3.0,47,22
2025-02-19 00:00:00+00:00,1.0,1.0,85,16
2025-02-20 00:00:00+00:00,,,35,11
2025-02-21 00:00:00+00:00,1.0,1.0,23,9
2025-02-22 00:00:00+00:00,,,7,2
2025-02-23 00:00:00+00:00,,,49,5
