time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,9,9,29,9
2026-05-29 00:00:00+00:00,28,24,6,5
2026-05-30 00:00:00+00:00,31,15,15,8
2026-05-31 00:00:00+00:00,32,21,25,4
2026-06-01 00:00:00+00:00,4,4,9,8
2026-06-02 00:00:00+00:00,19,14,48,8
2026-06-03 00:00:00+00:00,17,14,30,11
2026-06-04 00:00:00+00:00,10,10,34,10
2026-06-05 00:00:00+00:00,31,17,49,18
2026-06-06 00:00:00+00:00,15,11,1,1
2026-06-07 00:00:00+00:00,4,4,30,5
2026-06-08 00:00:00+00:00,11,9,90,10
2026-06-09 00:00:00+00:00,10,10,45,16
2026-06-10 00:00:00+00:00,7,7,30,13
