referrer,views_total,views_unique
Google,92,20
forum.mrshub.org,44,10
schorschinho.github.io,35,11
github.com,4,2
search.brave.com,4,2
Bing,3,3
mrshub.netlify.app,3,2
chatgpt.com,1,1
gabamrs.com,1,1
mrshub.org,1,1
