referrer,views_total,views_unique
Google,153,34
schorschinho.github.io,63,22
Bing,48,8
github.com,42,5
forum.mrshub.org,11,9
chatgpt.com,11,6
markmikkelsen.github.io,3,2
kennedykrieger.org,3,2
cn.bing.com,2,1
wtclarke.github.io,2,1
