time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,11,10,31,11
2026-06-14 00:00:00+00:00,11,8,7,3
2026-06-15 00:00:00+00:00,6,6,18,13
2026-06-16 00:00:00+00:00,4,4,20,9
2026-06-17 00:00:00+00:00,7,6,87,13
2026-06-18 00:00:00+00:00,4,4,99,15
2026-06-19 00:00:00+00:00,13,11,22,11
2026-06-20 00:00:00+00:00,15,15,20,2
2026-06-21 00:00:00+00:00,10,9,32,6
2026-06-22 00:00:00+00:00,2,2,34,8
2026-06-23 00:00:00+00:00,5,5,91,21
2026-06-24 00:00:00+00:00,9,8,66,19
2026-06-25 00:00:00+00:00,58,23,22,16
2026-06-26 00:00:00+00:00,8,8,29,15
