referrer,views_total,views_unique
Google,170,46
schorschinho.github.io,110,20
github.com,110,18
forum.mrshub.org,21,8
mrshub.org,15,4
Bing,14,3
DuckDuckGo,13,1
chatgpt.com,9,2
nitrc.org,6,2
gabamrs.com,5,2
