referrer,views_total,views_unique
Google,172,42
forum.mrshub.org,95,26
schorschinho.github.io,92,30
mrshub.org,16,3
github.com,12,8
Bing,11,3
mrshub.netlify.app,7,2
nitrc.org,6,4
se.search.yahoo.com,6,2
chatgpt.com,5,2
