referrer,views_total,views_unique
Google,195,34
schorschinho.github.io,63,23
Bing,52,10
github.com,31,5
forum.mrshub.org,11,8
chatgpt.com,7,4
markmikkelsen.github.io,3,2
mrshub.org,2,1
cn.bing.com,2,1
wtclarke.github.io,2,1
