time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,1.0,1.0,64.0,13.0
2025-01-31 00:00:00+00:00,1.0,1.0,41.0,16.0
2025-02-01 00:00:00+00:00,,,36.0,9.0
2025-02-02 00:00:00+00:00,,,48.0,7.0
2025-02-03 00:00:00+00:00,2.0,1.0,30.0,14.0
2025-02-04 00:00:00+00:00,8.0,6.0,78.0,21.0
2025-02-05 00:00:00+00:00,1.0,1.0,75.0,15.0
2025-02-06 00:00:00+00:00,2.0,2.0,34.0,17.0
2025-02-07 00:00:00+00:00,1.0,1.0,31.0,12.0
2025-02-08 00:00:00+00:00,1.0,1.0,4.0,4.0
2025-02-09 00:00:00+00:00,,,13.0,5.0
2025-02-10 00:00:00+00:00,2.0,2.0,136.0,22.0
2025-02-11 00:00:00+00:00,2.0,2.0,59.0,13.0
2025-02-12 00:00:00+00:00,3.0,2.0,,
