referrer,views_total,views_unique
Google,314,62
schorschinho.github.io,119,48
github.com,48,15
forum.mrshub.org,29,15
mrshub.org,20,5
gabamrs.com,14,7
chatgpt.com,14,6
Bing,10,8
DuckDuckGo,7,4
claude.ai,4,3
