time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,1.0,1.0,12,6
2025-03-03 00:00:00+00:00,5.0,4.0,19,13
2025-03-04 00:00:00+00:00,1.0,1.0,33,10
2025-03-05 00:00:00+00:00,3.0,1.0,106,20
2025-03-06 00:00:00+00:00,4.0,4.0,58,13
2025-03-07 00:00:00+00:00,,,56,15
2025-03-08 00:00:00+00:00,1.0,1.0,12,2
2025-03-09 00:00:00+00:00,1.0,1.0,6,6
2025-03-10 00:00:00+00:00,3.0,3.0,123,24
2025-03-11 00:00:00+00:00,1.0,1.0,50,19
2025-03-12 00:00:00+00:00,3.0,2.0,57,26
2025-03-13 00:00:00+00:00,7.0,7.0,89,27
2025-03-14 00:00:00+00:00,1.0,1.0,30,15
2025-03-15 00:00:00+00:00,,,18,5
