referrer,views_total,views_unique
Google,83,42
schorschinho.github.io,57,20
github.com,47,15
researchgate.net,27,1
chatgpt.com,11,7
forum.mrshub.org,10,4
Bing,8,2
osprey-docs-test.readthedocs.io,7,6
ecosia.org,5,1
gabamrs.com,4,2
