url_path,views_total,views_unique
/schorschinho/osprey,150,101
/schorschinho/osprey/issues,23,7
/schorschinho/osprey/blob/develop/exampledata/sdat/MEGA/jobSDAT_MEGA.m,16,5
/schorschinho/osprey/releases/tag/v.2.9.0,12,10
/schorschinho/osprey/blob/develop/README.md,11,8
/schorschinho/osprey/releases,11,7
/schorschinho/osprey/blob/develop/exampledata/sdat/MEGA/jobSDAT_MEGA_Multidataset.m,11,1
/schorschinho/osprey/tree/develop/fit/basissets,9,6
/schorschinho/osprey/tree/develop/fit,8,5
/schorschinho/osprey/tree/develop/docs,7,5
