time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,6.0,3.0,16,8
2025-07-05 00:00:00+00:00,2.0,2.0,6,5
2025-07-06 00:00:00+00:00,1.0,1.0,45,5
2025-07-07 00:00:00+00:00,,,27,14
2025-07-08 00:00:00+00:00,2.0,2.0,49,14
2025-07-09 00:00:00+00:00,12.0,1.0,54,11
2025-07-10 00:00:00+00:00,,,58,16
2025-07-11 00:00:00+00:00,1.0,1.0,38,13
2025-07-12 00:00:00+00:00,,,3,3
2025-07-13 00:00:00+00:00,,,17,7
2025-07-14 00:00:00+00:00,3.0,3.0,39,12
2025-07-15 00:00:00+00:00,1.0,1.0,48,15
2025-07-16 00:00:00+00:00,,,28,19
2025-07-17 00:00:00+00:00,1.0,1.0,81,14
