referrer,views_total,views_unique
Google,253,67
schorschinho.github.io,130,33
github.com,44,10
forum.mrshub.org,42,9
search.brave.com,13,2
osprey-bids.readthedocs.io,13,1
Bing,12,7
nitrc.org,10,6
statics.teams.cdn.office.net,9,2
gabamrs.com,7,3
