time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-19 00:00:00+00:00,,,37,17
2025-06-20 00:00:00+00:00,2.0,2.0,38,15
2025-06-21 00:00:00+00:00,,,27,4
2025-06-22 00:00:00+00:00,,,3,3
2025-06-23 00:00:00+00:00,1.0,1.0,93,25
2025-06-24 00:00:00+00:00,4.0,3.0,229,27
2025-06-25 00:00:00+00:00,3.0,3.0,97,23
2025-06-26 00:00:00+00:00,2.0,2.0,90,18
2025-06-27 00:00:00+00:00,2.0,2.0,112,23
2025-06-28 00:00:00+00:00,,,19,7
2025-06-29 00:00:00+00:00,,,14,5
2025-06-30 00:00:00+00:00,2.0,2.0,85,18
2025-07-01 00:00:00+00:00,1.0,1.0,60,13
2025-07-02 00:00:00+00:00,6.0,3.0,48,11
