time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,2,2,35,11
2026-04-05 00:00:00+00:00,5,5,17,8
2026-04-06 00:00:00+00:00,3,3,10,8
2026-04-07 00:00:00+00:00,3,3,107,24
2026-04-08 00:00:00+00:00,1,1,91,19
2026-04-09 00:00:00+00:00,22,13,69,18
2026-04-10 00:00:00+00:00,2,2,70,21
2026-04-11 00:00:00+00:00,1,1,24,6
2026-04-12 00:00:00+00:00,4,4,12,5
2026-04-13 00:00:00+00:00,1,1,87,20
2026-04-14 00:00:00+00:00,1,1,70,23
2026-04-15 00:00:00+00:00,1,1,46,22
2026-04-16 00:00:00+00:00,1,1,81,19
2026-04-17 00:00:00+00:00,1,1,62,24
