time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,58,23,22,16
2026-06-26 00:00:00+00:00,8,8,29,15
2026-06-27 00:00:00+00:00,7,6,3,3
2026-06-28 00:00:00+00:00,24,17,11,4
2026-06-29 00:00:00+00:00,10,10,21,7
2026-06-30 00:00:00+00:00,10,9,11,10
2026-07-01 00:00:00+00:00,6,6,20,14
2026-07-02 00:00:00+00:00,12,10,21,15
2026-07-03 00:00:00+00:00,9,9,25,14
2026-07-04 00:00:00+00:00,12,12,14,12
2026-07-05 00:00:00+00:00,2,2,7,7
2026-07-06 00:00:00+00:00,4,4,13,8
2026-07-07 00:00:00+00:00,8,6,10,6
2026-07-08 00:00:00+00:00,11,7,44,13
